@logo      B&M-General Particle Tracer
numderivs           0
cputime     6.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   1.200e-08 -2.457e-08  3.850e-01  2.734e-08  4.976e-03 -3.697e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.500e+01 
   9.676e-09  1.325e-08  3.850e-01  1.640e-08  5.701e-04  4.941e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.600e+01 
  -3.924e-08  1.592e-09  3.850e-01  3.927e-08 -6.629e-03 -2.863e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.700e+01 
  -7.597e-10 -2.988e-10  3.850e-01  8.164e-10  1.594e-03  9.797e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.800e+01 
   5.199e-09 -2.228e-09  3.850e-01  5.656e-09 -3.011e-03  4.548e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.900e+01 
   1.098e-10  3.969e-09  3.850e-01  3.970e-09 -1.792e-03 -3.597e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+01 
   1.572e-09  2.782e-08  3.850e-01  2.786e-08  4.787e-03  4.551e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.100e+01 
  -3.975e-09 -3.140e-09  3.850e-01  5.066e-09 -2.937e-03  8.677e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.200e+01 
   1.944e-08 -1.198e-08  3.850e-01  2.284e-08  1.421e-03 -5.894e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.300e+01 
   1.131e-08 -1.152e-08  3.850e-01  1.615e-08  2.493e-03 -4.106e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.400e+01 
   1.204e-08  3.862e-08  3.850e-01  4.045e-08  3.421e-03  6.233e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.500e+01 
  -3.485e-09 -1.048e-09  3.850e-01  3.639e-09 -2.442e-03 -5.467e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.600e+01 
   2.185e-09 -1.644e-08  3.850e-01  1.658e-08  5.454e-03 -1.858e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.700e+01 
   7.968e-09  4.802e-09  3.850e-01  9.303e-09 -8.607e-04  4.339e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.800e+01 
  -2.339e-08  7.380e-09  3.850e-01  2.453e-08 -5.152e-03 -4.505e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.900e+01 
  -3.135e-09  2.838e-09  3.850e-01  4.228e-09  3.328e-03  1.300e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+01 
  -6.585e-09 -9.828e-09  3.850e-01  1.183e-08 -4.942e-03  3.952e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.100e+01 
   8.017e-09  9.037e-10  3.850e-01  8.067e-09 -7.734e-04 -5.079e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.200e+01 
   2.434e-08 -3.637e-08  3.850e-01  4.376e-08  5.148e-03 -5.239e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.300e+01 
   1.248e-10  2.363e-10  3.850e-01  2.672e-10  1.731e-04  6.291e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.400e+01 
  -1.996e-08 -8.436e-10  3.850e-01  1.998e-08 -5.100e-03 -1.323e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.500e+01 
  -2.330e-09 -3.888e-09  3.850e-01  4.533e-09  3.729e-03 -3.526e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.600e+01 
   1.131e-08  4.319e-09  3.850e-01  1.210e-08 -2.670e-03  5.841e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.700e+01 
  -9.528e-10  2.280e-09  3.850e-01  2.471e-09 -1.557e-03 -2.192e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.800e+01 
  -2.498e-09  1.720e-08  3.850e-01  1.738e-08  4.835e-03  3.346e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.900e+01 
  -7.147e-09 -7.052e-09  3.850e-01  1.004e-08 -4.132e-03  1.955e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+01 
   2.270e-08 -1.136e-08  3.850e-01  2.538e-08  5.679e-04 -6.925e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.100e+01 
   4.306e-10 -2.025e-09  3.850e-01  2.070e-09  1.659e-03 -1.039e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.200e+01 
   1.277e-08  1.571e-08  3.850e-01  2.024e-08  2.098e-04  5.576e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.300e+01 
  -1.026e-08  2.297e-09  3.850e-01  1.051e-08 -3.695e-03 -1.954e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.400e+01 
  -5.068e-09 -6.784e-10  3.850e-01  5.114e-09  6.618e-03  9.260e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.500e+01 
   1.723e-09 -2.255e-09  3.850e-01  2.839e-09 -2.006e-03  2.570e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.600e+01 
   2.008e-09  4.875e-09  3.850e-01  5.272e-09 -2.308e-03 -5.703e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.700e+01 
   7.525e-10  1.528e-08  3.850e-01  1.530e-08  3.303e-03  3.666e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.800e+01 
